Titre;Prix;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite_Vitesse;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut;Transmission;Age_Annonce_Jours
vente micra 2020;32000.0;https://www.tayara.tn/item/voitures/tunis/la-marsa/vente-micra-2020/6a3a9f91b2b93a99b9769a78/;tayara.tn;2026-07-13;2026-06-24;Nissan;Micra;2020.0;105000.0;Automatique;Essence;Tunis;5.0;;;;29.0
Ford Fiesta;17900.0;https://www.tayara.tn/item/voitures/sousse/sahloul/ford-fiesta/6a3a964eb2b93a99b97692d1/;tayara.tn;2026-07-13;2026-06-24;Ford;Fiesta;2005.0;226000.0;Manuelle;Essence;Sousse;5.0;;;;29.0
vente une voiture KWID 252;32000.0;https://www.tayara.tn/item/voitures/la-manouba/oued-ellil/vente-une-voiture-kwid-252/6a3a8ac611fc36f5d7355bea/;tayara.tn;2026-07-13;2026-06-24;Renault;Clio;2026.0;18000.0;Manuelle;Essence;La Manouba;3.0;;;;29.0
très belle voiture;24500.0;https://www.tayara.tn/item/voitures/jendouba/tabarka/trs-belle-voiture/6a3a7d3811fc36f5d735513e/;tayara.tn;2026-07-13;2026-06-23;Citroën;C5;2009.0;330000.0;Manuelle;Diesel;Jendouba;6.0;;;;30.0
2011 FIAT PUNTO 3;21500.0;https://www.tayara.tn/item/voitures/ben-arous/el-mourouj/2011-fiat-punto-3/6a3a7a7811fc36f5d7354eba/;tayara.tn;2026-07-13;2026-06-23;Fiat;Punto;2011.0;161000.0;Manuelle;Essence;Ben Arous;5.0;;;;30.0
Troc Allemagne série 262;82000.0;https://www.tayara.tn/item/voitures/tunis/tunis/troc-allemagne-srie-262/6a3a5990b2b93a99b9765ee8/;tayara.tn;2026-07-13;2026-06-23;Volkswagen;T-Roc;2022.0;59000.0;Manuelle;Essence;Tunis;6.0;;;;30.0
Voiture a vendre;44000.0;https://www.tayara.tn/item/voitures/ben-arous/boumhel/voiture-a-vendre/6a3a4ea211fc36f5d7352942/;tayara.tn;2026-07-13;2026-06-23;Seat;Leon ST;2018.0;270321.0;Manuelle;Essence;Ben Arous;6.0;;;;30.0
Mercedes Benz GLA250E;160000.0;https://www.tayara.tn/item/voitures/sousse/hammam-sousse/mercedes-benz-gla250e/6a398b46b2b93a99b9760759/;tayara.tn;2026-07-13;2026-06-23;Mercedes-Benz;250;2020.0;92000.0;Automatique;Hybride;Sousse;8.0;;;;30.0
kia cerato coupe;37000.0;https://www.tayara.tn/item/voitures/bizerte/bizerte/kia-cerato-coupe/6a39a0ee11fc36f5d734e828/;tayara.tn;2026-07-13;2026-06-23;Kia;Cerato;2011.0;200000.0;Automatique;Essence;Bizerte;7.0;;;;30.0
vente Voiture TOYOTA Corolla;65000.0;https://www.tayara.tn/item/voitures/la-manouba/denden/vente-voiture-toyota-corolla/6a39acc5b2b93a99b9761cb3/;tayara.tn;2026-07-13;2026-06-23;Toyota;Corolla;2021.0;102.0;Automatique;Essence;La Manouba;6.0;;;;30.0
Fiat tipo premiere à vendre;33600.0;https://www.tayara.tn/item/voitures/tunis/tunis/fiat-tipo-premiere-vendre/6a37ad9911fc36f5d733ca95/;tayara.tn;2026-07-13;2026-06-21;Fiat;Tipo;2017.0;165000.0;Manuelle;Essence;Tunis;6.0;;;;32.0
voiture commerciale;11700.0;https://www.tayara.tn/item/voitures/jendouba/tabarka/voiture-commerciale/6a3a32c011fc36f5d7351823/;tayara.tn;2026-07-13;2026-06-23;Renault;Kangoo;2004.0;185000.0;Manuelle;Diesel;Jendouba;7.0;;;;30.0
Fiat 500 importé  hybride issence  2013;49000.0;https://www.tayara.tn/item/voitures/sousse/sousse/fiat-500-import-hybride-issence-2013/6a3a439611fc36f5d7352119/;tayara.tn;2026-07-13;2026-06-23;Fiat;500;2023.0;50000.0;Manuelle;Essence;Sousse;5.0;;;;30.0
Ford Focus;37000.0;https://www.tayara.tn/item/voitures/kbili/douz-sud/ford-focus/6a35911611fc36f5d732d40e/;tayara.tn;2026-07-13;2026-06-20;Ford;Focus;2018.0;136000.0;Manuelle;Diesel;Kébili;6.0;;;;33.0
Golf 7 1.2 tsi;47000.0;https://www.tayara.tn/item/voitures/monastir/moknine/golf-7-12-tsi/6a358d8611fc36f5d732d1c7/;tayara.tn;2026-07-13;2026-06-20;Volkswagen;Golf;2015.0;280000.0;Manuelle;Essence;Monastir;5.0;;;;33.0
VOITURE NEUVE;80000.0;https://www.tayara.tn/item/voitures/tunis/tunis/voiture-neuve/6a357bfeb2b93a99b973f3c4/;tayara.tn;2026-07-13;2026-06-20;Mg;;2026.0;2020.0;Automatique;Electrique;Tunis;4.0;;;;33.0
Range rover a ne pas rater;83000.0;https://www.tayara.tn/item/voitures/ben-arous/ezzahra/range-rover-a-ne-pas-rater/6a3554c4b2b93a99b973d831/;tayara.tn;2026-07-13;2026-06-20;Land Rover;Range Rover Evoque;;160000.0;Automatique;Diesel;Ben Arous;9.0;;;;33.0
Fiat Fiorino;37997.0;https://www.tayara.tn/item/voitures/ben-arous/el-mourouj-5/fiat-fiorino/6a354afeb2b93a99b973cf84/;tayara.tn;2026-07-13;2026-06-20;Fiat;Fiorino;2022.0;26000.0;Manuelle;Diesel;Ben Arous;5.0;;;;33.0
Tiguan;105000.0;https://www.tayara.tn/item/voitures/mdenine/zarzis/tiguan/6a35175cb2b93a99b973a37c/;tayara.tn;2026-07-13;2026-06-19;Volkswagen;Tiguan;2021.0;97000.0;Automatique;Hybride essence;Médenine;8.0;;;;34.0
voiture;33000.0;https://www.tayara.tn/item/voitures/gafsa/redeyef/voiture/6a3415cbec535ff6e1596378/;tayara.tn;2026-07-13;2026-06-19;Citroën;C5;2012.0;250.0;Manuelle;Diesel;Gafsa;7.0;;;;34.0
Voiture Fiat punto;20000.0;https://www.tayara.tn/item/voitures/tunis/ain-zaghouen/voiture-fiat-punto/6a3431d914106929dedec488/;tayara.tn;2026-07-13;2026-06-19;Fiat;Punto;;312.0;Manuelle;Essence;Tunis;;;;;34.0
"voiture de collection à vendre 
citroën va année 74 - système hydrolique tt en marche";15000.0;https://www.tayara.tn/item/voitures/ben-arous/mornag/voiture-de-collection-vendre-citron-va-anne-74-systme-hydrolique-tt-en-marche/6a34353914106929dedec775/;tayara.tn;2026-07-13;2026-06-19;Citroën;CX;;20000.0;Manuelle;Essence;Ben Arous;6.0;;;;34.0
MITSUBICHI PAJERO 2.8 INTERCOOLER;32000.0;https://www.tayara.tn/item/voitures/ariana/cit-ennasr-2/mitsubichi-pajero-28-intercooler/6a35d49a11fc36f5d732fd37/;tayara.tn;2026-07-13;2026-06-20;Mitsubishi;Pajero Sport;1999.0;300000.0;Manuelle;Diesel;Ariana;13.0;;;;33.0
Superbe Mercedes-Benz Classe E Avantgarde Diesel - Noir - État Irréprochable;60000.0;https://www.tayara.tn/item/voitures/nabeul/nabeul/superbe-mercedesbenz-classe-e-avantgarde-diesel-noir-tat-irrprochable/6a34f44d11fc36f5d73259ce/;tayara.tn;2026-07-13;2026-06-19;Mercedes-Benz;Classe E;2014.0;106000.0;Automatique;Diesel;Nabeul;10.0;;;;34.0
Vente voiture;58500.0;https://www.tayara.tn/item/voitures/tunis/tunis/vente-voiture/6a3aba5d11fc36f5d7358044/;tayara.tn;2026-07-13;2026-06-24;Kia;Rio;2022.0;80000.0;Manuelle;Essence;Tunis;5.0;;;;29.0
metsubishi mirage;17500.0;https://www.tayara.tn/item/voitures/le-kef/le-kef/metsubishi-mirage/6a3771ff11fc36f5d733b4a4/;tayara.tn;2026-07-13;2026-06-21;Mitsubishi;Canter;2014.0;163000.0;Manuelle;Essence;Le Kef;4.0;;;;32.0
voiture;24500.0;https://www.tayara.tn/item/voitures/ben-arous/rads/voiture/6a372c4d11fc36f5d733a42a/;tayara.tn;2026-07-13;2026-06-21;Fiat;Grande Punto;2011.0;210.0;Manuelle;Essence;Ben Arous;4.0;;;;32.0
voiture Kia sportage;58000.0;https://www.tayara.tn/item/voitures/sousse/sahloul/voiture-kia-sportage/6a37067db2b93a99b974c114/;tayara.tn;2026-07-13;2026-06-21;Kia;Sportage;2014.0;230000.0;Manuelle;Diesel;Sousse;7.0;;;;32.0
JETTA 4;41000.0;https://www.tayara.tn/item/voitures/bizerte/bizerte-nord/jetta-4/6a3703f711fc36f5d7339341/;tayara.tn;2026-07-13;2026-06-21;Volkswagen;Jetta;2015.0;160000.0;Manuelle;Essence;Bizerte;7.0;;;;32.0
Voiture fiat uno;8000.0;https://www.tayara.tn/item/voitures/gabs/gabs-sud/voiture-fiat-uno/6a36f9bbb2b93a99b974baad/;tayara.tn;2026-07-13;2026-06-21;Fiat;Uno;1995.0;300000.0;Manuelle;Essence;Gabès;4.0;;;;32.0
À vendre;26000.0;https://www.tayara.tn/item/voitures/tunis/tunis/-vendre/6a36ed3611fc36f5d7338703/;tayara.tn;2026-07-13;2026-06-21;Kia;C'eed;;260000.0;Manuelle;Essence;Tunis;5.0;;;;32.0
Peugeot 206 plus essence;24000.0;https://www.tayara.tn/item/voitures/tunis/tunis/peugeot-206-plus-essence/6a36e1bbb2b93a99b974ad5a/;tayara.tn;2026-07-13;2026-06-21;Peugeot;206+;2010.0;135000.0;Manuelle;Essence;Tunis;4.0;;;;32.0
Voiture MG;58000.0;https://www.tayara.tn/item/voitures/tunis/carthage/voiture-mg/6a36594311fc36f5d7332b3b/;tayara.tn;2026-07-13;2026-06-20;Mg;ZS;2021.0;150000.0;Automatique;Essence;Tunis;6.0;;;;33.0
Avendre belle Citroën c elysee;21500.0;https://www.tayara.tn/item/voitures/tunis/tunis/avendre-belle-citron-c-elysee/6a365f2a11fc36f5d7332f08/;tayara.tn;2026-07-13;2026-06-20;Citroën;C-Elysée;2014.0;237000.0;Manuelle;Essence;Tunis;5.0;;;;33.0
Vendre Voiture Mercedes Blanche 250;25000.0;https://www.tayara.tn/item/voitures/tunis/tunis/vendre-voiture-mercedes-blanche-250/6a367643b2b93a99b9746c8d/;tayara.tn;2026-07-13;2026-06-20;Mercedes-Benz;250;;0.0;Manuelle;Diesel;Tunis;7.0;;;;33.0
Skoda Octavia;75000.0;https://www.tayara.tn/item/voitures/ariana/ghazela/skoda-octavia/6a3686aeb2b93a99b974774e/;tayara.tn;2026-07-13;2026-06-20;Škoda;Octavia;2022.0;50900.0;Automatique;Essence;Ariana;8.0;;;;33.0
voiture Audi;100000.0;https://www.tayara.tn/item/voitures/tunis/le-bardo/voiture-audi/6a36919c11fc36f5d73351ed/;tayara.tn;2026-07-13;2026-06-21;Audi;A4;2012.0;78110.0;Manuelle;Essence;Tunis;;;;;32.0
VOITURE;47000.0;https://www.tayara.tn/item/voitures/mdenine/zarzis/voiture/6a366378b2b93a99b9745f04/;tayara.tn;2026-07-13;2026-06-20;Citroën;Jumpy;2021.0;200000.0;Manuelle;Diesel;Médenine;;;;;33.0
Voiture à vendre;17000.0;https://www.tayara.tn/item/voitures/bizerte/ras-jebel/voiture-vendre/6a3ac760b2b93a99b976b7ef/;tayara.tn;2026-07-13;2026-06-24;Renault;Megane Estate;2005.0;260000.0;Manuelle;Diesel;Bizerte;5.0;;;;29.0
Chery E3;30000.0;https://www.tayara.tn/item/voitures/ben-arous/autres-villes/chery-e3/6a4191abb3da6e91fdbf7711/;tayara.tn;2026-07-13;2026-06-29;Chery;E3;2017.0;75000.0;Manuelle;Essence;Ben Arous;6.0;;;;24.0
BMW SÉRIE3 318i PACKM;76000.0;https://www.tayara.tn/item/voitures/tunis/gammarth/bmw-srie3-318i-packm/6a41713fb3da6e91fdbf61fe/;tayara.tn;2026-07-13;2026-06-29;Bmw;Serie 3 GT;2019.0;119000.0;Automatique;Essence;Tunis;7.0;;;;24.0
Haval jolion 1ère main;75000.0;https://www.tayara.tn/item/voitures/tunis/tunis/haval-jolion-1re-main/6a416072c59ab3cb25a1b659/;tayara.tn;2026-07-13;2026-06-29;Haval;Jolion;2021.0;67700.0;Automatique;Essence;Tunis;9.0;;;;24.0
grand punto;24800.0;https://www.tayara.tn/item/voitures/tunis/el-omrane/grand-punto/6a4114f6b3da6e91fdbf2470/;tayara.tn;2026-07-13;2026-06-28;Fiat;Punto;2014.0;262.0;Manuelle;Essence;Tunis;4.0;;;;25.0
GOLF 8 GTE HYBRIDE;110000.0;https://www.tayara.tn/item/voitures/ariana/la-soukra/golf-8-gte-hybride/6a40f30db3da6e91fdbf0dc2/;tayara.tn;2026-07-13;2026-06-28;Volkswagen;Golf 8;2023.0;96000.0;Automatique;Hybride essence;Ariana;6.0;;;;25.0
Mégane quatre;57000.0;https://www.tayara.tn/item/voitures/jendouba/jendouba/mgane-quatre/6a40dc8fc59ab3cb25a16248/;tayara.tn;2026-07-13;2026-06-28;Renault;Megane;2019.0;86000.0;Manuelle;Diesel;Jendouba;5.0;;;;25.0
Great Falls m4;37000.0;https://www.tayara.tn/item/voitures/tunis/le-bardo/great-falls-m4/6a406dfab3da6e91fdbee266/;tayara.tn;2026-07-13;2026-06-28;Gwm;M4;2022.0;180000.0;Manuelle;Essence;Tunis;6.0;;;;25.0
Ford Focus Ecoboost;40000.0;https://www.tayara.tn/item/voitures/sfax/route-manzel-chaker/ford-focus-ecoboost/6a402b95b3da6e91fdbebc5e/;tayara.tn;2026-07-13;2026-06-28;Ford;Focus;2017.0;190000.0;Manuelle;Essence;Sfax;6.0;;;;25.0
kia sportage 2018;70000.0;https://www.tayara.tn/item/voitures/monastir/moknine/kia-sportage-2018/6a400c32c59ab3cb25a10827/;tayara.tn;2026-07-13;2026-06-28;Kia;Sportage;2018.0;173000.0;Automatique;Essence;Monastir;9.0;;;;25.0
kia sorento;150000.0;https://www.tayara.tn/item/voitures/ben-arous/el-mourouj/kia-sorento/6a3fe7dcc59ab3cb25a0f0b4/;tayara.tn;2026-07-13;2026-06-28;Kia;Sorento;2025.0;9000.0;Automatique;Hybride essence;Ben Arous;9.0;;;;25.0
Tiguan;39000.0;https://www.tayara.tn/item/voitures/sfax/route-taniour/tiguan/6a3fd86cb3da6e91fdbe86db/;tayara.tn;2026-07-13;2026-06-28;Volkswagen;Tiguan;2010.0;192000.0;Manuelle;Essence;Sfax;12.0;;;;25.0
Citroen jumpy;57000.0;https://www.tayara.tn/item/voitures/tunis/tunis/citroen-jumpy/6a3fd7dac59ab3cb25a0e735/;tayara.tn;2026-07-13;2026-06-28;Citroën;Jumpy;2022.0;79000.0;Manuelle;Diesel;Tunis;5.0;;;;25.0
great wall M4;43500.0;https://www.tayara.tn/item/voitures/ariana/ariana/great-wall-m4/6a41afd1b3da6e91fdbf8880/;tayara.tn;2026-07-13;2026-06-29;Gwm;M4;2020.0;32600.0;Manuelle;Essence;Ariana;6.0;;;;24.0
A vendre OPEL INSIGNIA  essence 1.6L;40000.0;https://www.tayara.tn/item/voitures/gabs/gabs/a-vendre-opel-insignia-essence-16l/6a437febc59ab3cb25a2f210/;tayara.tn;2026-07-13;2026-06-30;Opel;Insignia;2009.0;160000.0;Manuelle;Essence;Gabès;5.0;;;;23.0
nissan juke a vendre;50000.0;https://www.tayara.tn/item/voitures/ben-arous/mornag/nissan-juke-a-vendre/6a4376d6c59ab3cb25a2eb36/;tayara.tn;2026-07-13;2026-06-30;Nissan;Juke;2016.0;118000.0;Manuelle;Essence;Ben Arous;6.0;;;;23.0
Mercedes classe E coupé;70000.0;https://www.tayara.tn/item/voitures/tunis/la-marsa/mercedes-classe-e-coup/6a42d526b3da6e91fdc043c6/;tayara.tn;2026-07-13;2026-06-30;Mercedes-Benz;Classe E;2011.0;250000.0;Automatique;Essence;Tunis;11.0;;;;23.0
voiture hyundai a vendre;43000.0;https://www.tayara.tn/item/voitures/ben-arous/el-mourouj-1/voiture-hyundai-a-vendre/6a42bf76c59ab3cb25a29485/;tayara.tn;2026-07-13;2026-06-30;Hyundai;Grand i10;2021.0;50000.0;Manuelle;Essence;Ben Arous;4.0;;;;23.0
Evoque;73000.0;https://www.tayara.tn/item/voitures/tunis/la-marsa/evoque/6a42bda6b3da6e91fdc03260/;tayara.tn;2026-07-13;2026-06-30;Land Rover;Range Rover Evoque;2015.0;200000.0;Manuelle;Diesel;Tunis;8.0;;;;23.0
Voiture : Kia sportage;93000.0;https://www.tayara.tn/item/voitures/sousse/m-saken/voiture-kia-sportage/6a42ab50c59ab3cb25a28625/;tayara.tn;2026-07-13;2026-06-30;Kia;Sportage;2020.0;65000.0;Automatique;Diesel;Sousse;7.0;;;;23.0
voiture bonne occasion;22000.0;https://www.tayara.tn/item/voitures/sfax/sakiet-eddaer/voiture-bonne-occasion/6a4223c7b3da6e91fdbfaf7d/;tayara.tn;2026-07-13;2026-06-29;Citroën;C-Elysée;2014.0;280000.0;Manuelle;Essence;Sfax;5.0;;;;24.0
Kia picanto Etat Neuf;36200.0;https://www.tayara.tn/item/voitures/tunis/tunis/kia-picanto-etat-neuf/6a424469b3da6e91fdbfccf2/;tayara.tn;2026-07-13;2026-06-29;Kia;Picanto;2020.0;94000.0;Manuelle;Essence;Tunis;4.0;;;;24.0
Forthing T5 EVO;90000.0;https://www.tayara.tn/item/voitures/tunis/tunis/forthing-t5-evo/6a424773c59ab3cb25a22f58/;tayara.tn;2026-07-13;2026-06-29;Dongfeng;s50;2024.0;39800.0;Automatique;Essence;Tunis;9.0;;;;24.0
Voiture;37500.0;https://www.tayara.tn/item/voitures/sfax/bir-ali-ben-khalifa/voiture/6a3fc8d0c59ab3cb25a0db10/;tayara.tn;2026-07-13;2026-06-28;Citroën;Berlingo;2015.0;258000.0;Manuelle;Diesel;Sfax;5.0;;;;25.0
Fiat uno;11000.0;https://www.tayara.tn/item/voitures/tunis/sidi-hassine/fiat-uno/6a425457b3da6e91fdbfddf3/;tayara.tn;2026-07-13;2026-06-29;Fiat;Uno;2002.0;149265.0;Manuelle;Essence;Tunis;5.0;;;;24.0
Vente d'une Voiture E30;17000.0;https://www.tayara.tn/item/voitures/bizerte/menzel-jemil/vente-dune-voiture-e30/6a426cb4c59ab3cb25a254a5/;tayara.tn;2026-07-13;2026-06-30;Bmw;Serie 3;1989.0;218322.0;Manuelle;Diesel;Bizerte;7.0;;;;23.0
Citroën C4 Cactus 2015 Première Main à Vendre;32000.0;https://www.tayara.tn/item/voitures/tunis/tunis/citron-c4-cactus-2015-premire-main-vendre/6a42770cb3da6e91fdbffef9/;tayara.tn;2026-07-13;2026-06-30;Citroën;C4 Cactus;2015.0;184000.0;Manuelle;Essence;Tunis;5.0;;;;23.0
🚗 À VENDRE : KIA RIO TOUT OPTION – OCCASION À NE PAS RATER ! 🚗;35000.0;https://www.tayara.tn/item/voitures/bizerte/menzel-bourguiba/-vendre-kia-rio-tout-option-occasion-ne-pas-rater-/6a427cecc59ab3cb25a263ac/;tayara.tn;2026-07-13;2026-06-30;Kia;Rio;2012.0;180.0;Manuelle;Essence;Bizerte;5.0;;;;23.0
C3 Picasso a vendre;25000.0;https://www.tayara.tn/item/voitures/ben-arous/medina-jedida/c3-picasso-a-vendre/6a428001b3da6e91fdc00632/;tayara.tn;2026-07-13;2026-06-30;Citroën;C3 Picasso;2010.0;0.0;Manuelle;Essence;Ben Arous;6.0;;;;23.0
Véhicule;54500.0;https://www.tayara.tn/item/voitures/monastir/monastir/vhicule/6a3fc397c59ab3cb25a0d6c5/;tayara.tn;2026-07-13;2026-06-27;Mercedes-Benz;Classe C;2012.0;209500.0;Automatique;Essence;Monastir;9.0;;;;26.0
IX35;63000.0;https://www.tayara.tn/item/voitures/nabeul/soliman/ix35/6a3fb1b9b3da6e91fdbe67e6/;tayara.tn;2026-07-13;2026-06-27;Hyundai;Ix 35;2014.0;230000.0;Automatique;Diesel;Nabeul;5.0;;;;26.0
voiture;20000.0;https://www.tayara.tn/item/voitures/nabeul/korba/voiture/6a3cfc7eb3da6e91fdbcedc0/;tayara.tn;2026-07-13;2026-06-25;Mercedes-Benz;250;1988.0;1.0;Manuelle;Diesel;Nabeul;8.0;;;;28.0
Ford focus 2016;38000.0;https://www.tayara.tn/item/voitures/ben-arous/mgrine/ford-focus-2016/6a3cdcb6b3da6e91fdbcd421/;tayara.tn;2026-07-13;2026-06-25;Ford;Focus;2016.0;125000.0;Manuelle;Essence;Ben Arous;;;;;28.0
Voiture en très bonne état;53999.0;https://www.tayara.tn/item/voitures/monastir/ksibet-el-mdiouni/voiture-en-trs-bonne-tat/6a3c482911fc36f5d73666c2/;tayara.tn;2026-07-13;2026-06-25;Volkswagen;Tiguan;2010.0;171467.0;Automatique;Diesel;Monastir;8.0;;;;28.0
"Citroen ax
num : 58658923";9000.0;https://www.tayara.tn/item/voitures/la-manouba/mornaguia/citroen-axnum-58658923/6a3c391e11fc36f5d7365bfc/;tayara.tn;2026-07-13;2026-06-25;Citroën;AX;2000.0;1000.0;Automatique;Essence;La Manouba;;;;;28.0
Voiture;29000.0;https://www.tayara.tn/item/voitures/tunis/alain-savary/voiture/6a3c2df3b2b93a99b97785f8/;tayara.tn;2026-07-13;2026-06-25;Nissan;Micra;2016.0;110000.0;Manuelle;Essence;Tunis;5.0;;;;28.0
Seat arona;55000.0;https://www.tayara.tn/item/voitures/sousse/kantaoui/seat-arona/6a3c2de8b2b93a99b97785ea/;tayara.tn;2026-07-13;2026-06-25;Seat;Arona;2021.0;142500.0;Manuelle;Essence;Sousse;6.0;;;;28.0
Audi Q5;47500.0;https://www.tayara.tn/item/voitures/tunis/el-manar-2/audi-q5/6a3c1785b2b93a99b9777682/;tayara.tn;2026-07-13;2026-06-25;Audi;Q5;2010.0;200000.0;Automatique;Essence;Tunis;13.0;;;;28.0
Vente voiture;24000.0;https://www.tayara.tn/item/voitures/nabeul/grombalia/vente-voiture/6a3b000db2b93a99b976dd03/;tayara.tn;2026-07-13;2026-06-24;Ford;Fiesta;2010.0;150.0;Manuelle;Essence;Nabeul;5.0;;;;29.0
